Lat,Long,title,caption

49.0378679453,-62.2265625,Multistem hazel - Bracken Moorland,"Hazel (Corylus avellana) is an understory shrub that grows in the dappled shade of taller trees.  This example has been coppiced, a traditional process where a tree is cut back to encourage the regrowth of many smaller stems, which were traditionally used in furniture making and thatched roofing."
45.0890355648,-2.98828125,Wild Strawberry - Bracken Moorland,"The wild or woodland strawberry (Fragaria vesca) looks like a smaller version of the cultivated variety. The population of this species is now increasing here after selected trees were felled and the shrub layer cleared a few years ago, allowing more light to reach the ground. "
77.3125199382,2.109375,null,null
48.3416461724,-46.0546875,Tangled vegetation - Dan Sumption,"To succeed among all the other vegetation bluebell bulbs (Hyacinthoides non-scripta) must produce their leaves early in the year, before the deciduous tree canopy closes over and light levels drop.  This successful strategy means that bluebells are the dominant plant in many areas of the wood. "
45.583289756,-36.9140625,Beech and sweet chestnut - Dan Sumption,"This part of the wood is a mix of sweet chestnut (Castanea sativa), on the left, and beech (Fagus sylvatica), the lower branches of which are seen.  Neither of these trees are native to northern Britain: sweet chestnut was introduced from southern Europe, whereas beech originally grew only in southern Britain. "
48.3416461724,-63.80859375,Clearing with coppiced hazel - Graham Turnbull,"This hazel (Corylus avellana) has been coppiced, leaving just three stems or 'poles' to continue growing.  These can be bent over and pinned to the ground, where they will take root and form the next generation of hazel trees. The 'layering' technique positions new saplings 5ft from the parent tree, helping to suppress competition from brambles (Rubus fruticosus).  "
46.3165841818,-2.4609375,Clearing with regrowth - Graham Turnbull,"This clearing was created to allow woodland plants, the seeds of which remain dormant in the soil for many decades, the chance to reestablish.  It takes regular maintenance by volunteers to prevent brambles (Rubus fruticosus) and tree saplings from overshadowing them.   "
0,-33.75,Honeysuckle - Bracken Moorland,Sweet-smelling honeysuckle (Lonicera periclymenum) is abundant in this part of the wood and is especially fragrant at night to attract pollinating moths.  Honeysuckle will only bloom abundantly in brighter locations and may fail to flower in deep shade.
54.0077687619,-13.271484375,Clearing with bluebells - Ian Wilshaw," Bluebells (Hyacinthoides non-scripta) are the dominant plant species in this large clearing. One of the reasons they do so well here is because they are encircled by a 'dead hedge'. This not only protects plants and tree saplings from being trampled, but it also provides an additional habitat for insects and other small animals."
